source_id,design_file,logical_path,size_bytes,sha256,authority,version,external_storage_pointer,git_storage,duplicate_of,verified_date
SRC-DES-031,SAQEEL KPI Management.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL KPI Management.dc.html,18885,1736d9c5f20d1b29ea530b756565e0802019a1356a323da4bed93d268645537c,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-032,SAQEEL Login.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Login.dc.html,15163,71aa3449afd322c4cf7f8f9715cd1dd8fa2d33349c8f57cd6c22ee14d164b41b,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-033,SAQEEL Operations Center.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Operations Center.dc.html,21744,ea9dce0b775ba69eb1bea3ebe7a35c076de316c18f1b955b5b3d8a2e8c7988e1,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-034,SAQEEL Operations Live.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Operations Live.dc.html,10021,157b68c8ba4bbbdba4f61265b25ff98d097a810e5acb42f2aef67f4b4403452d,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-035,SAQEEL Planning Identity.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Planning Identity.dc.html,11576,6ea3efa9038b10c1cd9ef5a401b767748fc3e12110f6526f6a53939a307b2d92,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-036,SAQEEL Planning.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Planning.dc.html,23039,7ba9a7e44e30791fa1a1f2e2ef50927022ee517b941413ad3ad13b2ac8abd560,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-037,SAQEEL Portal.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Portal.dc.html,9735,8488602449447bd70251338176f7c60ddf7a7d0890146672fe2836f51efee813,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-038,SAQEEL Profile.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Profile.dc.html,7811,bb14b46a8d9966b9ee8901408868c1c220a88df744025989df43bb4e4ed8eeea,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-039,SAQEEL Review & Approval.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Review & Approval.dc.html,25566,9d0e62bfe8208c5e122bc7d7142e8ebc457cbfaf5e21d16b5dac8de9f3e6da3e,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-040,SAQEEL Risk.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Risk.dc.html,16193,e1a9adee84aa2e2923c3513feb0994808781157c57ab250a084fc5d18e5fb50f,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-041,SAQEEL States System.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL States System.dc.html,14928,9e78eb7ced8d9b43096d2346a8925534feeecd30c748cc48f70a86a17f4b5d9a,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-042,SAQEEL Tasks.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Tasks.dc.html,14102,b97ff987d88c9c2728d703708d2826c0fe200b3a5963e0d76c0659376317ff37,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-043,SAQEEL Users Roles.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Users Roles.dc.html,16534,9d4e9879d7f2d4fd39a47895c9f746d99cbb3b3030aa033009889c7ada82a6b6,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-044,SAQEEL Virtual.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Virtual.dc.html,15594,8b7130d61c7ba550a385c26f590fc963363b3f9a40487c438294ac680e01a199,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-045,SAQEEL Visits.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Visits.dc.html,28502,74fc7af27cfa7ce7a3f458ae42ac5464aefcfa79471eb8c9f2f9b083ba25e2d2,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
SRC-DES-046,SAQEEL Web Dashboard.dc.html,MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip!/02_APPROVED_DESIGN_EXPORTS.zip!/SAQEEL Web Dashboard.dc.html,47089,d84d2a7cb916d0095954b005b096bc5c9342c848f649fb8c07b37ab0bcbc7088,PRIMARY_TARGET_DESIGN,PRODUCT_OWNER_SUPPLIED_2026-07-23,/Users/vikramindla/Attachment dump/MIM_Inspection_Web_Admin_Codex_Plan_Starter.zip,PROHIBITED_BINARY_EXTERNAL_ONLY,,2026-07-23
